text_id,text_type,title,recommended_tones,text
B001,business,Quarterly Momentum Update,neutral|determined|enthusiastic,"Good morning, everyone. Today I want to focus on where we are gaining momentum, where we are still exposed, and what we will change before the next quarter begins. Customer retention improved, but onboarding remains too slow. If we simplify the first week and assign clear ownership, this quarter can become a turning point."
B002,business,Difficult Project Reset,neutral|concerned|determined,"I want to reset expectations on the project. The team has worked hard, but the current plan has too many dependencies and too little room for review. We will narrow the scope, protect the launch date, and make the tradeoffs visible. That gives us a better chance of delivering something useful."
B003,business,Team Change Announcement,neutral|compassionate|determined,"Starting next Monday, every project will have one decision owner, one support lead, and one weekly checkpoint. This will feel different at first. Some people will need to step back, and others will need to step forward. The goal is less friction, clearer responsibility, and a calmer rhythm."
B004,business,Customer Risk Brief,concerned|determined|neutral,"The customer feedback is clear. People see value after setup, but too many of them struggle before they reach that point. This is not a product failure, but it is a serious adoption risk. We need a shorter path to first success and a sharper message about what to do next."
B005,business,Launch Opportunity,enthusiastic|determined|neutral,"We are three weeks from launch, and the product is ready. Early testers understand the value quickly, and their comments are more specific than we expected. The risk is awareness. A quiet launch would waste a good product, so the first campaign needs a clear audience and a sharper message."
B006,business,Supportive Feedback,compassionate|neutral|determined,"I appreciate the effort that went into this work. The direction is promising, and the next version can be much stronger. The main change is focus. Choose one audience, make the opening simpler, and let the strongest evidence appear earlier. That will help people understand the value faster."
S001,story,The Clockmaker And The Storm,neutral|concerned|playful,"At noon, the clockmaker raised both hands and shouted, Stop the tower clock. The storm is coming early, and the whole town must hear the warning. The mayor frowned, but a young runner pointed to the hills. The clouds were moving like a wall."
S002,story,The Tiny Theater Mystery,neutral|playful|enthusiastic,"The curtain rose, and Princess Lila stepped forward in a sparkling blue cape. Tonight, she announced, we present the grand mystery of the missing crown. Behind the curtain, Max whispered, The crown is not missing. It is on your head."
S003,story,The Moon Bell,playful|compassionate|enthusiastic,"The dragon spoke in a voice as deep as thunder. Who has taken the silver moon bell from my tower? From behind a pumpkin cart, a tiny mouse lifted one paw. I borrowed it, she said, because the river was lonely and needed music."
S004,story,The Last Train Home,concerned|compassionate|neutral,"Mara reached the platform just as the final train doors began to close. Her suitcase bumped against the step, and the conductor looked at the darkening sky. One minute, he said. Tell me quickly. Are you running away from something, or toward something?"
S005,story,The Inventor's Button,playful|enthusiastic|neutral,"The inventor placed a red button in the center of the table and warned everyone not to touch it. Naturally, everyone stared at the button. Then the youngest apprentice asked the only sensible question. If no one should touch it, why did you make it so shiny?"
S006,story,The Quiet Applause,compassionate|neutral|enthusiastic,"When the music ended, the room stayed silent. For one long second, Elian thought he had failed. Then his grandmother stood, placed one hand over her heart, and began to clap slowly. One by one, the whole hall joined her."
